name ts   x y z   roll pitch yaw  err delay
anonymous:0 1603183101 771061000   -0.696463 0.794509 1.50991
anonymous:0 1603183101 781160000   -0.698723 0.798868 1.50899
anonymous:0 1603183101 790657000   -0.700633 0.803143 1.50809
anonymous:0 1603183101 800817000   -0.702267 0.807482 1.50708
anonymous:0 1603183101 811098000   -0.704345 0.811785 1.50625
anonymous:0 1603183101 820998000   -0.705521 0.81601 1.50529
anonymous:0 1603183101 830806000   -0.707162 0.820061 1.50463
anonymous:0 1603183101 850869000   -0.709428 0.828264 1.50289
anonymous:0 1603183101 861150000   -0.710728 0.83248 1.50219
anonymous:0 1603183101 871281000   -0.711036 0.836617 1.50137
anonymous:0 1603183101 880861000   -0.712081 0.840871 1.50078
anonymous:0 1603183101 891188000   -0.712387 0.845007 1.50015
anonymous:0 1603183101 900869000   -0.712975 0.849147 1.49956
anonymous:0 1603183101 911078000   -0.712936 0.853317 1.49901
anonymous:0 1603183101 921440000   -0.713125 0.857391 1.49863
anonymous:0 1603183101 931084000   -0.713226 0.861442 1.49814
anonymous:0 1603183101 940942000   -0.712703 0.865446 1.49764
anonymous:0 1603183101 950459000   -0.71265 0.869509 1.49718
anonymous:0 1603183101 961192000   -0.712276 0.873451 1.49677
anonymous:0 1603183101 971070000   -0.711598 0.877226 1.49627
anonymous:0 1603183101 980889000   -0.710999 0.880979 1.49608
anonymous:0 1603183101 990996000   -0.710518 0.884672 1.49598
anonymous:0 1603183102 714000   -0.70952 0.888183 1.49586
anonymous:0 1603183102 11083000   -0.708276 0.891659 1.49576
anonymous:0 1603183102 21240000   -0.706976 0.89506 1.49576
anonymous:0 1603183102 30888000   -0.705788 0.898358 1.49568
anonymous:0 1603183102 41016000   -0.704541 0.901471 1.49578
anonymous:0 1603183102 50807000   -0.703225 0.904513 1.49596
anonymous:0 1603183102 60804000   -0.7018 0.907304 1.49624
anonymous:0 1603183102 71027000   -0.700403 0.909925 1.4965
anonymous:0 1603183102 80924000   -0.698938 0.912346 1.49681
anonymous:0 1603183102 91012000   -0.697348 0.914647 1.49716
anonymous:0 1603183102 101273000   -0.695642 0.916785 1.49764
anonymous:0 1603183102 110928000   -0.693756 0.918804 1.49825
anonymous:0 1603183102 120987000   -0.691838 0.920613 1.49897
anonymous:0 1603183102 130705000   -0.689899 0.92237 1.49977
anonymous:0 1603183102 140655000   -0.688019 0.923834 1.50075
anonymous:0 1603183102 150767000   -0.686146 0.92536 1.50182
anonymous:0 1603183102 160631000   -0.684291 0.926641 1.50303
